,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
596,Du?an Tadi?,MFFW,rs Serbia,33,1.nl Ajax,1988,3,3,257,2.9,0,2,2,0,0,0,0,0,0.1,0.1,0.7,0.8,12,14,20,0.00,0.70,0.70,0.00,0.70,0.03,0.25,0.28,0.03,0.28,Matches,2475dcc6
597,Nicol?s Tagliafico,DF,ar Argentina,29,1.fr Lyon,1992,6,3,373,4.1,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,6,8,20,0.00,0.00,0.00,0.00,0.00,0.26,0.05,0.31,0.26,0.31,Matches,f0661424
598,Montassar Talbi,DF,tn Tunisia,24,1.fr Lorient,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a4a44eb0
599,Hassan Al Tambakti,DF,sa Saudi Arabia,23,1.sa Al-Shabab,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6d78c320
600,Ao Tanaka,MF,jp Japan,23,2.de D?sseldorf,1998,3,2,171,1.9,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.0,1,8,7,0.53,0.00,0.53,0.53,0.53,0.55,0.05,0.60,0.55,0.60,Matches,1d36d6b6
601,Shogo Taniguchi,DF,jp Japan,30,1.jp Kawa Frontale,1991,2,2,210,2.3,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,5,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,828a9c47
602,Mehdi Taremi,FW,ir IR Iran,29,1.pt Porto,1992,3,3,270,3.0,2,1,3,1,1,1,0,0,1.3,0.6,0.7,1.2,7,9,18,0.67,0.33,1.00,0.33,0.67,0.45,0.22,0.67,0.18,0.40,Matches,4c2a5d34
603,Kenneth Taylor,MF,nl Netherlands,20,1.nl Ajax,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ad9b2747
604,Aur?lien Tchouam?ni,MF,fr France,22,1.es Real Madrid,2000,7,7,621,6.9,1,0,1,1,0,0,1,0,0.3,0.3,1.0,1.4,8,50,6,0.14,0.00,0.14,0.14,0.14,0.05,0.16,0.21,0.05,0.21,Matches,4f255115
605,Yeltsin Tejeda,MF,cr Costa Rica,30,1.cr Club Sport Herediano,1992,3,3,269,3.0,1,1,2,1,0,0,0,0,0.4,0.4,0.1,0.5,0,9,1,0.33,0.33,0.67,0.33,0.67,0.14,0.02,0.17,0.14,0.17,Matches,74319b04
606,Alex Telles,DF,br Brazil,29,1.es Sevilla,1992,2,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e73c9bb2
607,Sorba Thomas,MF,wls Wales,22,2.eng Huddersfield,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8725a42e
608,Marcus Thuram,FWMF,fr France,24,1.de M'Gladbach,1997,5,0,151,1.7,0,2,2,0,0,0,1,0,0.2,0.2,0.3,0.5,8,6,9,0.00,1.19,1.19,0.00,1.19,0.16,0.19,0.35,0.16,0.35,Matches,6f8cd6d0
609,Youri Tielemans,MF,be Belgium,25,1.eng Leicester City,1997,3,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,56f7a928
610,Jurri?n Timber,DF,nl Netherlands,20,1.nl Ajax,2001,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,13,24,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,41034650
611,Karl Toko Ekambi,FWMF,cm Cameroon,29,1.fr Lyon,1992,3,2,166,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,7,2,8,0.00,0.00,0.00,0.00,0.00,0.10,0.14,0.24,0.10,0.24,Matches,5ceba7fc
612,Nouhou Tolo,DF,cm Cameroon,24,1.us Seattle,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,10,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0796512f
613,Takehiro Tomiyasu,DFMF,jp Japan,23,1.eng Arsenal,1998,3,1,187,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches,b3af9be1
614,Mehdi Torabi,MF,ir IR Iran,27,1.ir Persepolis,1994,3,0,62,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,2,6,2,0.00,0.00,0.00,0.00,0.00,0.18,0.82,1.00,0.18,1.00,Matches,74567feb
615,F?lix Torres Caicedo,DF,ec Ecuador,25,1.mx Santos,1997,3,3,270,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.6,0,2,0,0.00,0.33,0.33,0.00,0.33,0.04,0.15,0.19,0.04,0.19,Matches,c0a8860f
616,Ferr?n Torres,FW,es Spain,22,1.es Barcelona,2000,4,3,217,2.4,2,0,2,1,1,1,0,0,1.0,0.2,0.2,0.4,3,7,32,0.83,0.00,0.83,0.41,0.41,0.42,0.07,0.50,0.10,0.17,Matches,9e1035f8
617,Gerson Torres,MF,cr Costa Rica,24,1.cr Club Sport Herediano,1997,1,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,d56713ff
618,Pau Torres,DF,es Spain,25,1.es Villarreal,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,532e1e4f
619,Kieran Trippier,DF,eng England,31,1.eng Newcastle Utd,1990,3,2,206,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,1,17,8,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches,21512407
620,Leandro Trossard,FWMF,be Belgium,27,1.eng Brighton,1994,3,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,5,9,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,38ceb24a
621,Matt Turner,GK,us United States,27,1.eng Arsenal,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4a51ba65
622,Ayase Ueda,FW,jp Japan,23,1.be Cercle Brugge,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,c0295327
623,Hwang Ui-jo,FWMF,kr Korea Republic,29,1.gr Olympiacos,1992,4,1,106,1.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,3,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40,Matches,a2d873dd
624,Dayot Upamecano,DF,fr France,23,1.de Bayern Munich,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,26,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,d248cd8f
625,Enner Valencia,FWMF,ec Ecuador,32,1.tr Fenerbah?e,1989,3,3,255,2.8,3,0,3,2,1,1,0,0,2.3,1.5,0.3,1.8,0,1,15,1.06,0.00,1.06,0.71,0.71,0.80,0.10,0.90,0.52,0.62,Matches,fb485406
626,Federico Valverde,MF,uy Uruguay,23,1.es Real Madrid,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,7,29,4,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.20,0.06,0.20,Matches,0959c2a2
627,Virgil van Dijk,DF,nl Netherlands,30,1.eng Liverpool,1991,5,5,480,5.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,18,0,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches,e06683ca
628,Rapha?l Varane,DF,fr France,29,1.eng Manchester Utd,1993,6,6,518,5.8,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,8,7,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,9f8e9423
629,Guillermo Varela,DF,uy Uruguay,29,1.br Flamengo,1993,3,2,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,5,11,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,5c961282
630,Ruben Vargas,FW,ch Switzerland,23,1.de Augsburg,1998,4,4,285,3.2,0,1,1,0,0,0,1,0,0.3,0.3,0.6,0.9,15,8,34,0.00,0.32,0.32,0.00,0.32,0.11,0.19,0.30,0.11,0.30,Matches,6ecbddf6
631,Mat?as Vecino,MF,uy Uruguay,30,1.it Lazio,1991,3,2,195,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,9,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,44ac04e9
632,Alexis Vega,FW,mx Mexico,24,1.mx Guadalajara,1997,3,3,193,2.1,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,2,6,13,0.00,0.00,0.00,0.00,0.00,0.39,0.06,0.44,0.39,0.44,Matches,f40f4c38
633,Milo? Veljkovi?,DF,rs Serbia,26,1.de Werder Bremen,1995,3,3,221,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a5ae8f8e
634,Johan Venegas,FWMF,cr Costa Rica,33,1.cr Liga Deportiva Alajuelense,1988,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5eadd340
635,Jordan Veretout,MF,fr France,29,1.fr Marseille,1993,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4a56052c
636,Jan Vertonghen,DF,be Belgium,35,1.be Anderlecht,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,8,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,ba23a904
637,Mat?as Vi?a,DF,uy Uruguay,24,1.it Roma,1997,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,08eb3b58
638,Vitinha,MF,pt Portugal,22,1.fr Paris S-G,2000,3,1,120,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,14,7,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,3b029691
639,Steven Vit?ria,DF,ca Canada,35,1.pt Chaves,1987,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9bc450e6
640,Du?an Vlahovi?,FW,rs Serbia,22,1.it Juventus,2000,2,1,79,0.9,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,0,1,3,1.14,0.00,1.14,1.14,1.14,0.92,0.00,0.92,0.92,0.92,Matches,79443529
641,Nikola Vla?i?,FWMF,hr Croatia,24,1.it Torino,1997,6,1,209,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,4,4,18,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,Matches,aa8e289e
642,Mohammed Waad,MFDF,qa Qatar,22,1.qa Al Sadd SC,1999,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,94e8df02
643,Kyle Walker,DF,eng England,32,1.eng Manchester City,1990,3,3,236,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,18,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,86dd77d1
644,Danny Ward,GK,wls Wales,28,1.eng Leicester City,1993,2,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d3ce0e89
645,Kendall Waston,DF,cr Costa Rica,34,1.cr Deportivo Saprissa,1988,3,2,225,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,02ea59b0
646,Timothy Weah,FW,us United States,22,1.fr Lille,2000,4,4,316,3.5,1,0,1,1,0,0,0,0,0.6,0.6,0.4,1.1,5,5,27,0.28,0.00,0.28,0.28,0.28,0.18,0.12,0.31,0.18,0.31,Matches,8eec784d
647,Wout Weghorst,FW,nl Netherlands,29,1.tr Be?ikta?,1992,4,0,64,0.7,2,0,2,2,0,0,1,0,0.2,0.2,0.0,0.2,0,3,1,2.81,0.00,2.81,2.81,2.81,0.52,0.08,0.60,0.52,0.60,Matches,c4e87b8b
648,W?verton,GK,br Brazil,34,1.br Palmeiras,1987,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,81be82e9
649,Silvan Widmer,DF,ch Switzerland,29,1.de Mainz 05,1993,3,3,265,2.9,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,5,14,15,0.00,0.34,0.34,0.00,0.34,0.01,0.29,0.30,0.01,0.30,Matches,f68b64fc
650,I?aki Williams,FW,gh Ghana,27,1.es Athletic Club,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,2,1,7,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches,6a99e0b1
651,Neco Williams,DF,wls Wales,21,1.eng Nott'ham Forest,2001,3,3,204,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,5,11,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches,dd323728
652,Nico Williams,FW,es Spain,19,1.es Athletic Club,2002,4,1,146,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,4,25,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,afdc14d7
653,Callum Wilson,FW,eng England,30,1.eng Newcastle Utd,1992,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.9,0.9,2,3,6,0.00,1.87,1.87,0.00,1.87,0.00,1.70,1.70,0.00,1.70,Matches,c596fcb0
654,Harry Wilson,MFFW,wls Wales,25,1.eng Fulham,1997,3,2,160,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,2,3,6,0.00,0.00,0.00,0.00,0.00,0.05,0.28,0.33,0.05,0.33,Matches,c6dc9ecd
655,Roan Wilson,MF,cr Costa Rica,20,1.cr Municipal Grecia,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,719300f2
656,Axel Witsel,MF,be Belgium,33,1.es Atl?tico Madrid,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,16,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches,5dfc6ad5
657,Jeong Woo-yeong,MF,kr Korea Republic,22,1.de Freiburg,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,6190474d
658,Jung Woo-young,MF,kr Korea Republic,32,1.qa Al Sadd SC,1989,4,4,303,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,1,24,1,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,858a34b8
659,Christopher Wooh,DF,cm Cameroon,20,1.fr Rennes,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,b003239d
660,David Wotherspoon,MF,ca Canada,32,1.sct St Johnstone,1990,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e9a9b1fa
661,Bailey Wright,DF,au Australia,29,2.eng Sunderland,1992,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4be70ecf
662,Haji Wright,FW,us United States,24,1.tr Antalyaspor,1998,4,1,137,1.5,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.6,4,2,7,0.66,0.00,0.66,0.66,0.66,0.35,0.02,0.37,0.35,0.37,Matches,91cd37b7
663,Granit Xhaka,MF,ch Switzerland,29,1.eng Arsenal,1992,4,4,360,4.0,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,9,30,4,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12,Matches,e61b8aee
664,Miki Yamane,DFMF,jp Japan,28,1.jp Kawa Frontale,1993,1,1,61,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches,b712e02d
665,Jawad El Yamiq,DF,ma Morocco,30,1.es Valladolid,1992,6,3,309,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,5,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,f6f6b6e8
666,Taha Yassine Khenissi,FW,tn Tunisia,30,1.kw Kuwait SC,1992,2,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.06,0.45,0.51,0.06,0.51,Matches,44d6aedb
667,DeAndre Yedlin,DF,us United States,28,1.us Inter Miami,1993,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ae0a7ddf
668,Maya Yoshida,DF,jp Japan,33,1.de Schalke 04,1988,4,4,390,4.3,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,2,7,0,0.00,0.23,0.23,0.00,0.23,0.00,0.09,0.09,0.00,0.09,Matches,caffaf5a
669,Kim Young-gwon,DF,kr Korea Republic,32,1.kr Ulsan Hyundai,1990,4,4,350,3.9,1,0,1,1,0,0,1,0,0.8,0.8,0.2,0.9,1,19,0,0.26,0.00,0.26,0.26,0.26,0.19,0.05,0.24,0.19,0.24,Matches,9459ace1
670,Cho Yumin,FW,kr Korea Republic,25,2.kr Daejeon Citizen FC,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7a4529dc
671,Denis Zakaria,MF,ch Switzerland,25,1.eng Chelsea,1996,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,384d58d9
672,Nicola Zalewski,MF,pl Poland,20,1.it Roma,2002,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,45191c29
673,Andre-Frank Zambo Anguissa,MF,cm Cameroon,26,1.it Napoli,1995,3,3,260,2.9,0,1,1,0,0,0,0,0,0.1,0.1,0.0,0.1,5,11,9,0.00,0.35,0.35,0.00,0.35,0.02,0.00,0.02,0.02,0.02,Matches,6bb2c084
674,?lvaro Zamora,MF,cr Costa Rica,20,1.cr Deportivo Saprissa,2002,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d050756d
675,Anass Zaroury,FW,ma Morocco,21,2.eng Burnley,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,07d65234
676,Piotr Zieli?ski,MFFW,pl Poland,28,1.it Napoli,1994,4,4,328,3.6,1,0,1,1,0,0,0,0,0.6,0.6,0.4,1.0,9,20,4,0.27,0.00,0.27,0.27,0.27,0.16,0.11,0.26,0.16,0.26,Matches,a5296e55
677,Walker Zimmerman,DF,us United States,29,1.us Nashville,1993,4,3,279,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,220fa883
678,Andrija ?ivkovi?,DF,rs Serbia,25,1.gr PAOK,1996,3,3,210,2.3,0,2,2,0,0,0,0,0,0.1,0.1,1.1,1.2,10,9,13,0.00,0.86,0.86,0.00,0.86,0.03,0.48,0.50,0.03,0.50,Matches,321f83a2
679,Hakim Ziyech,FW,ma Morocco,29,1.eng Chelsea,1993,7,7,635,7.1,1,1,2,1,0,0,0,0,0.4,0.4,0.7,1.1,20,28,31,0.14,0.14,0.28,0.14,0.28,0.06,0.10,0.16,0.06,0.16,Matches,6622454d
680,Filip ?uri?i?,MFFW,rs Serbia,30,1.it Sampdoria,1992,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches,eccbe56a
